,imgloc,latitude,longitude,address,neighborhood,tags,name,artistname,info
0,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b572aa9f950b7329f3abd59/1556712947246/FullSizeRender-3.jpg,42.3274354,-83.07929020000002,"2605 Newark Street, Detroit, MI",Hubbard - Richard,,DETROIT MURAL #0674,Pat Perry,2018
1,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b52ed900e2e72a1709776d6/1556712947219/FullSizeRender-4.jpg,42.40459300000001,-83.228594,"19031 Grand River Ave, Detroit, MI",Rosedale Park,,DETROIT MURAL #0694,Tony Whlgn,2018
2,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b52eb78758d4613dececcfb/1556712947214/FullSizeRender-5.jpg,42.3274354,-83.07929020000002,"2605 Newark Street, Detroit, MI",Hubbard - Richard,,DETROIT MURAL #0693,Ledania,2018
3,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d4895f950b7e7ee07c3eb/1556712947203/FullSizeRender-6.jpg,42.3837434,-83.071422,"8801 Oakland Avenue, Detroit, MI",North End,,DETROIT MURAL #0690,FFTY,2018
4,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d488c8a922df608353505/1556712947190/FullSizeRender-7.jpg,42.3485798,-83.0673874,"4126 Third Avenue, Detroit, MI",Midtown,,DETROIT MURAL #0689,Laura Finlay,2018
5,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d47b38a922df608350b5d/1556712947179/FullSizeRender-9.jpg,42.3664159,-83.0067409,"7900 Mack Avenue, Detroit, MI",Islandview,,DETROIT MURAL #0687,Ndubisi Okoye,2018
6,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d47a26d2a739de2af78e3/1556712947173/FullSizeRender-10.jpg,42.3620336,-82.9816982,"10125 East Jefferson, Detroit, MI",Detroit,,DETROIT MURAL #0686,Michael Burdick and Kelly Golden,2018
7,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d46d90e2e72e10f3d7205/1556712947166/FullSizeRender-11.jpg,42.31622,-83.114001,"6600 West Vernor Highway, Detroit, MI",Detroit,,DETROIT MURAL #0671,Bernal Perez,2018
8,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b475955352f53728bd4ae1c/1556712947208/1531402738820.jpeg,42.37694399999999,-83.09584199999999,"1550 Taylor Street, Detroit, MI",Virginia Park,,DETROIT MURAL #0682,Tylonn J. Sawyer,2018
9,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16ae130e2e72611beb90d2/1556712947096/FullSizeRender-4.jpg,42.3101065,-83.09434499999999,"4847 Fort Street, Detroit, MI",Delray,,DETROIT MURAL #0625,Patch Whisky,2018
10,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16ae0f575d1f3054e7b1e3/1556712947090/FullSizeRender-5.jpg,42.3101065,-83.09434499999999,"4847 Fort Street, Detroit, MI",Delray,,DETROIT MURAL #0624,Ghost Beard,2018
11,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16ae0a8a922d0c6b547cc5/1556712947085/FullSizeRender.jpg,42.3316567,-83.09298439999999,"3546 Michigan Avenue, Detroit, MI",Mexicantown - Southwest Detroit,,DETROIT MURAL #0623,Nate Otto,2018
12,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16ae05562fa7121fb167f2/1556712947079/FullSizeRender-3.jpg,42.3343423,-83.0501176,"1457 Griswold St, Detroit, MI",Downtown Detroit,,DETROIT MURAL #0622,Bunnie Reiss,2018
13,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16adfe70a6ad59dcddb4fa/1556712947073/FullSizeRender-6.jpg,42.3323959,-83.0416336,"431 E Congress St, Detroit, MI",Downtown Detroit,,DETROIT MURAL #0621,Phybr,2018
14,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16ade488251b408d60b8bd/1556712947068/FullSizeRender-1.jpg,42.3669439,-83.06803099999999,"6060 John R Street, Detroit, MI",Milwaukee Junction,,DETROIT MURAL #0620,Phil Simpson,2018
15,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16adde575d1f3054e7a699/1556712947062/FullSizeRender-2.jpg,42.3519788,-83.0673671,"4475 2nd Avenue, Detroit, MI",Midtown,,DETROIT MURAL #0619,Michelle Tanguay,2018
16,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16add92b6a28229d7dec6e/1556712947056/FullSizeRender.jpg,42.3768624,-83.07770529999999,"(near) 8359 Woodward Ave, Detroit, MI",Virginia Park,,DETROIT MURAL #0618,Julien de Casabianca,2018
17,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16add403ce64105923d6fb/1556712947048/FullSizeRender-1.jpg,42.3768624,-83.07770529999999,"(near) 8359 Woodward Avenue, Detroit, MI",Virginia Park,,DETROIT MURAL #0617,Julien de Casabianca,2018
18,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16adce88251b408d60b2c3/1556712947043/FullSizeRender-2.jpg,42.3442883,-83.07395009999999,"3714 Trumbull Street, Detroit, MI",Woodbridge,,DETROIT MURAL #0615,Jake Dwyer,2018
19,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b1ffc3b352f53138bdd7076/1556712947137/FullSizeRender-3.jpg,42.3341563,-83.0514848,"1431 Washington Blvd, Detroit, MI",Downtown Detroit,,DETROIT MURAL #0614,Beverly Fishman,2018
20,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b09d1ae562fa7e07bdbb187/1556712947000/FullSizeRender-4.jpg,42.36981919999999,-83.0677439,"314 East Baltimore Ave, Detroit MI",Milwaukee Junction,,DETROIT MURAL #0606,Sydney G. James,2018
21,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab94f11352f53f31f90df0f/1556712945875/FullSizeRender-5.jpg,42.337512,-83.0540166,"124 West Columbia Street, Detroit, MI",Downtown Detroit,,DETROIT MURAL #0300,WC Bevan,2018
22,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ac39776f950b7917fecc922/1556712946297/FullSizeRender-6.jpg,42.3518894,-83.0793064,"1527 West Warren Ave, Detroit, MI",Woodbridge,,DETROIT MURAL #0381,Armageddon BEACHPARTY,2018
23,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ae79d89575d1f30834818ae/1556712946863/IMG_6574.jpg,42.3191879,-83.0996122,"1922 Ferdinand Street, Detroit, MI",Mexicantown - Southwest Detroit,,DETROIT MURAL #0529,Unknown,Unknown
24,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ae79c656d2a73cfcaf9300b/1556712946857/FullSizeRender-7.jpg,42.29523529999999,-83.131044,"9429 West Fort Street, Detroit, MI",Carbon Works,,DETROIT MURAL #0528,Freddy Diaz,Unknown
25,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5aba58a80e2e723b8ec75b28/1556712946006/FullSizeRender-8.jpg,42.3120386,-83.1261565,"7830 W Vernor Hwy, Detroit, Michigan",Springwells Village,,DETROIT MURAL #0326,Ellen Rutt,2017
26,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1da1d70a6ad5d2739737b/1556712945436/Jonny-Alexander-Gratiot-Detroit-Mural-Project.jpg,42.4167906,-82.9901168,"12355 Gratiot Ave., Detroit",Detroit,,DETROIT MURAL #0039,Jonny Alexander,2017
27,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5abac0be562fa7acbfe5458f/1556712946132/1522188115183.jpeg,42.309335,-83.1252457,"1930 Springwells Ave, Detroit, MI",Springwells Village,,DETROIT MURAL #0351,Freddy Diaz,2017
28,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b57298288251b71261d9024/1556712947230/FullSizeRender-9.jpg,42.3314717,-83.11025310000001,"5432 Michigan Avenue, Detroit, MI",Detroit,,DETROIT MURAL #0696,"Ben Hesskamp, Alan Thomas, & Teo Brant",2018
29,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1dc14352f53170db6c7e9/1556712945528/002-Detroit-Mural-Project.jpg.jpg,42.3558986,-83.0301072,"2917 Gratiot, Detroit, MI",Detroit,,DETROIT MURAL #0027,Unknown,Unknown
30,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ae79a2f6d2a73cfcaf8b265/1556712946841/FullSizeRender-10.jpg,42.329544,-83.061926,"1444 Brooklyn St Detroit, MI",Corktown,,DETROIT MURAL #0494,Shades,2017
31,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ae799adf950b7f3ad183a8e/1556712946824/FullSizeRender-11.jpg,42.3203412,-83.0964637,"4424 Vernor Hwy, Detroit, MI",Mexicantown - Southwest Detroit,,DETROIT MURAL #0491,Summer In The City,2017
32,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b23c624758d463f77fd5eab/1556712947160/FullSizeRender-12.jpg,42.3336814,-83.04929410000001,"35 East Grand River, Detroit, MI",Downtown Detroit,,DETROIT MURAL #0633,Willie Wayne Smith,2017
33,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ae71f800e2e72dfd92f830a/1556712946768/FullSizeRender-13.jpg,42.343879,-83.0335601,The Dequindre Cut Greenway,Wayne County,,DETROIT MURAL #0471,Alex Senna,2017
34,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d575352f53170db5d249/1556712945215/Michael-Olszewski-Detroit-Mural-Project.jpg,42.3482662,-83.086113,"4765 14th St, Detroit, MI",Woodbridge,,DETROIT MURAL #0077,Michael Olszewski,Unknown
35,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d587aa4a996aad795ce7/1556712945221/Michael-Olszewski-Detroit-Mural-Project.jpg,42.3484448,-83.0862472,"2200 W Hancock St, Detroit, MI",Detroit,,DETROIT MURAL #0076,Michael Olszewski,Unknown
36,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5abcca4e8a922dcb2e9c7d95/1556712946210/FullSizeRender.jpg,42.346141,-83.0659826,"3736 Third Street, Detroit, MI",Midtown,,DETROIT MURAL #0366,MEGGS,2017
37,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5abcc9f3352f53d18626012c/1556712946199/FullSizeRender-1.jpg,42.3446191,-83.0623461,"3454 Second Ave., Detroit, MI",Midtown,,DETROIT MURAL #0363,Caratoes,2017
38,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5abcc9db575d1fb78e073f4b/1556712946194/FullSizeRender-2.jpg,42.3446191,-83.0623461,"3454 Second Ave., Detroit, MI",Midtown,,DETROIT MURAL #0365,Christopher Konecki,2017
39,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5aba9b28562fa7dfaedf0815/1556712946059/FullSizeRender-3.jpg,42.3041304,-83.1218555,"1227 Springwells Street, Detroit, MI",Detroit,,DETROIT MURAL #0337,Freddy Diaz & MEGGS,2017
40,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1dc2e03ce647150ffcae7/1556712945534/WC-Bevan-2017-Michigan-Detroit-Mural-Project.jpg.jpg,42.331086,-83.089776,"3363 Michigan Ave., Detroit",Mexicantown - Southwest Detroit,,DETROIT MURAL #0026,WC Bevan,2017
41,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5aeffbc4352f535b34efbf37/1556712946947/FullSizeRender-4.jpg,42.35807,-83.000053,"7952 Kercheval Ave, Detroit, MI",West Village,,DETROIT MURAL #0585,Arlin Graff,2017
42,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ae85613575d1f30835e8ccd/1556712946917/FullSizeRender-5.jpg,42.3352051,-83.04911709999999,"1500 Woodward Avenue, Detroit, MI",Woodward Ave,,DETROIT MURAL #0578,Kelsey Montage,2017
43,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b52ee50aa4a995f7a657127/1556712947224/FullSizeRender-6.jpg,42.4295619,-83.22920529999999,"19031 West 7 Mile Road, Detroit, MI",Detroit,,DETROIT MURAL #0695,Summer In The City,2017
44,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16ae38aa4a99890c60304f/1556712947126/FullSizeRender-7.jpg,42.40151480000001,-83.1405331,"15111 Livernois Avenue, Detroit, MI",Detroit,,DETROIT MURAL #0629,Rensone,2017
45,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5acabd04575d1fd3934f2451/1556712946619/FullSizeRender-8.jpg,42.3942484,-82.9613296,"14114 East Warren Avenue, Detroit, MI",Detroit,,DETROIT MURAL #0436,Summer In The City,2017
46,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5acab257f950b7425215c4bb/1556712946568/FullSizeRender-9.jpg,42.370343,-83.097242,"1984 West Euclid Street, Detroit, MI",Virginia Park,,DETROIT MURAL #0428,Summer in the City,2017
47,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b0f3f0d2b6a28f41d1bbe1a/1556712947037/FullSizeRender-10.jpg,42.354625,-83.080478,"5233 Trumbull Street, Detroit MI",Woodbridge,,DETROIT MURAL #0609,Sydney Brack and Sam Albaugh,2017
48,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5abccb4f0e2e72e0bad26222/1556712946248/1524145683270.jpeg,42.363101,-82.987264,"9300 Kercheval Ave., Detroit, MI",English Village,,DETROIT MURAL #0373,WC Bevan,2017
49,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5abcc97c8a922dcb2e9c69c0/1556712946183/FullSizeRender.jpg,42.3503062,-83.06176769999999,"80 West Alexandrine Street, Detroit, MI",Cass Corridor,,DETROIT MURAL #0361,Anthony Lee,2017
50,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b0c12fc562fa7e07b14488f/1556712947030/IMAGE.JPG,42.350948,-83.0660455,"511 West Canfield Street, Detroit, MI",Midtown,,DETROIT MURAL #0613,Kevin Joy,2017
51,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab94e80575d1f05f55af1ec/1556712945864/FullSizeRender-12.jpg,42.36981919999999,-83.0677439,"314 East Baltimore Ave, Detroit, MI (Alley behind building)",Milwaukee Junction,,DETROIT MURAL #0298,Rich Ayers,2017
52,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab90eb2aa4a99a97182690d/1556712945778/FFTY-2017-Detroit-Mural-Project.jpg,42.406687,-83.223764,"18660 Bretton Drive, Detroit, MI",North Rosedale Park,,DETROIT MURAL #0283,FFTY,2017
53,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab90e9688251b9c2427ba92/1559750236253/Tylonn-Sawyer-2017-Detroit-Mural-Project.jpg,42.3787792,-83.086235,"8838 Third Ave, Detroit, MI",Virginia Park,,DETROIT MURAL #0282,Tylonn Sawyer,2017
54,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab90e5df950b759a8077926/1559750256108/FullSizeRender.jpg,42.386533,-83.0731993,"9131 Oakland Ave, Detroit, MI",North End,,DETROIT MURAL #0281,Julian Spradlin,2017
55,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1dc0503ce647150ffc553/1559750275191/Rashaun-Rucker-2017-Detroit-Mural-Project.jpg.jpg,42.3503858,-83.032823,"2200 Hunt St, Detroit, MI",McDougall - Hunt,,DETROIT MURAL #0218,Rashaun Rucker,2017
56,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d51eaa4a996aad794bf0/1559750290387/IMAGE.JPG,42.343879,-83.0335601,"The Dequindre Cut Greenway, Detroit, MI",Wayne County,,DETROIT MURAL #0081,Unknown,2017
57,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d59d1ae6cfb57c6c2101/1559750307432/Michael-Olszewski-2017-Detroit-Mural-Project.jpg,42.34798,-83.08655999999999,"4756 Grand River, Detroit",Woodbridge,,DETROIT MURAL #0075,Michael Olszewski,2017
58,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5ab1d62870a6ad5d2738d331/1559750323001/tumblr_ouswaa1SjQ1w75qkio1_1280.jpg,42.36583359999999,-83.07751480000002,"6331 Third Street, Detroit, MI",Wayne State,,DETROIT MURAL #0071,WC Bevan,2017
